ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
88,88,72369,19125,3726,47161,1781,1047,74,54445,16139,2334,34052,1384,784,54,23267,16627,6070
89,89,66807,53926,3908,4407,2560,1749,96,51424,42616,2463,2970,1834,1293,63,27563,9604,17333
90,90,67182,47044,6266,9888,2128,2206,187,54547,40535,4025,6674,1756,1713,125,22070,12491,8985
91,91,71786,15615,3801,50676,1315,1046,67,56541,13989,2448,38584,1112,841,45,22853,19311,2995
92,92,70605,57654,4954,4813,1410,1548,117,50421,42253,2915,3179,801,1100,71,26416,7680,18123
93,93,72800,13145,12443,45333,1528,1309,105,54990,11514,7702,34204,1171,984,79,19547,15198,3821
94,94,70535,52523,1916,13783,562,1551,73,56669,43010,1235,10615,410,1214,62,29653,7811,21328
95,95,69000,48408,3277,8329,7699,1197,94,51671,37444,2089,6082,5141,826,77,33092,10052,22514
96,96,71735,20246,6608,41324,2792,1068,84,55076,17680,4460,30140,2179,819,51,24377,17063,6788
97,97,72630,49019,8461,10774,3286,1239,114,57420,40823,5285,8013,2394,948,81,29077,14157,14345
98,98,73201,17247,7102,46568,1733,1121,86,54331,14688,4453,33310,1339,843,64,22340,15575,6268
99,99,73288,51656,3536,13335,3108,1636,156,54852,39573,2110,9729,2129,1189,87,32321,10314,21401
