GEOID20,NAME,STATE,DIST,STATEFP,SLDL,C_TOT23,CTOTMOE,C_NHS23,CNHSMOE,C_AMI23,CAMIMOE,C_ASI23,CASIMOE,C_BLA23,CBLAMOE,C_NHP23,CNHPMOE,C_WHT23,CWHTMOE,C_AIW23,CAIWMOE,C_ASW23,CASWMOE,C_BLW23,CBLWMOE,C_AIB23,CAIBMOE,C_2OM23,C2OMMOE,C_HSP23,CHSPMOE,C_AIA23,CAIAMOE,C_ASN23,CASNMOE,C_BLK23,CBLKMOE,CVAP_TOT23,CVAPTOTMOE,CVAP_NHS23,CVAPNHSMOE,CVAP_AMI23,CVAPAMIMOE,CVAP_ASI23,CVAPASIMOE,CVAP_BLA23,CVAPBLAMOE,CVAP_NHP23,CVAPNHPMOE,CVAP_WHT23,CVAPWHTMOE,CVAP_AIW23,CVAPAIWMOE,CVAP_ASW23,CVAPASWMOE,CVAP_BLW23,CVAPBLWMOE,CVAP_AIB23,CVAPAIBMOE,CVAP_2OM23,CVAP2OMMOE,CVAP_HSP23,CVAPHSPMOE,CVAP_AIA23,CVAPAIAMOE,CVAP_ASN23,CVAPASNMOE,CVAP_BLK23,CVAPBLKMOE,ALL_TOT23,ALLTOTMOE,ALL_NHS23,ALLNHSMOE,ALL_AMI23,ALLAMIMOE,ALL_ASI23,ALLASIMOE,ALL_BLA23,ALLBLAMOE,ALL_NHP23,ALLNHPMOE,ALL_WHT23,ALLWHTMOE,ALL_AIW23,ALLAIWMOE,ALL_ASW23,ALLASWMOE,ALL_BLW23,ALLBLWMOE,ALL_AIB23,ALLAIBMOE,ALL_2OM23,ALL2OMMOE,ALL_HSP23,ALLHSPMOE,ALL_AIA23,ALLAIAMOE,ALL_ASN23,ALLASNMOE,ALL_BLK23,ALLBLKMOE,VAP_TOT23,VAPTOTMOE,VAP_NHS23,VAPNHSMOE,VAP_AMI23,VAPAMIMOE,VAP_ASI23,VAPASIMOE,VAP_BLA23,VAPBLAMOE,VAP_NHP23,VAPNHPMOE,VAP_WHT23,VAPWHTMOE,VAP_AIW23,VAPAIWMOE,VAP_ASW23,VAPASWMOE,VAP_BLW23,VAPBLWMOE,VAP_AIB23,VAPAIBMOE,VAP_2OM23,VAP2OMMOE,VAP_HSP23,VAPHSPMOE,VAP_AIA23,VAPAIAMOE,VAP_ASN23,VAPASNMOE,VAP_BLK23,VAPBLKMOE
47001,"State House District 1 (2022), Tennessee",Tennessee,State House District 1 (2022),47,1,67380,1819,65630,1789,75,46,380,192,1385,307,0,32,62220,1697,445,88,190,107,845,297,0,32,100,60,1750,325,520,104.33,570,219.8,2230,428.35,53590,1336,52515,1304,70,44,330,143,1155,235,0,32,49980,1272,410,82,95,61,385,145,0,32,90,56,1075,194,480,98.41,425,155.47,1540,277.98,67890,1812,65945,1779,75,46,505,211,1390,308,0,32,62380,1700,445,88,190,107,845,297,0,32,115,61,1945,367,520,104.33,695,236.58,2235,429.07,54100,1329,52830,1299,70,44,455,164,1160,235,0,32,50145,1273,410,82,95,61,385,145,0,32,110,58,1275,227,480,98.41,550,174.98,1545,277.98
47002,"State House District 2 (2022), Tennessee",Tennessee,State House District 2 (2022),47,2,65485,1819,64195,1771,110,68,440,229,1510,335,0,32,60970,1736,365,82,70,80,680,258,25,40,25,29,1290,322,500,113.79,510,242.57,2215,424.72,53750,1393,52920,1368,105,67,240,123,1155,243,0,32,50825,1313,260,69,35,65,250,137,25,40,25,29,830,186,390,104.16,275,139.12,1430,281.81,66030,1822,64510,1771,110,68,475,245,1510,335,0,32,61185,1750,365,82,80,91,735,247,25,40,25,29,1520,343,500,113.79,555,261.35,2270,418.13,54205,1398,53195,1370,105,67,275,139,1155,243,0,32,51040,1327,260,69,50,78,265,137,25,40,25,29,1010,219,390,104.16,325,159.39,1445,281.81
47003,"State House District 3 (2022), Tennessee",Tennessee,State House District 3 (2022),47,3,65870,1946,64980,1963,120,84,505,189,1160,300,0,32,61650,2019,860,270,170,66,470,250,0,32,45,46,890,230,980,284.57,675,200.19,1630,391.82,53850,1566,53410,1579,50,40,440,151,1005,225,0,32,50810,1610,700,213,150,66,215,153,0,32,35,32,440,148,750,219.07,590,164.79,1220,273.97,66450,1951,65220,1963,120,84,540,200,1205,298,0,32,61805,2021,860,270,180,66,470,250,0,32,45,46,1230,240,980,284.57,720,210.61,1675,390.29,54370,1595,53650,1590,50,40,475,163,1050,229,0,32,50965,1617,700,213,160,67,215,153,0,32,35,32,720,183,750,219.07,635,176.23,1265,277.26
47004,"State House District 4 (2022), Tennessee",Tennessee,State House District 4 (2022),47,4,65980,862,63895,827,75,62,85,145,1055,241,20,33,61520,826,590,97,200,145,270,112,0,32,80,100,2085,140,665,119.49,285,205.06,1325,267.67,54070,619,52820,583,30,28,80,114,860,163,20,33,51165,586,460,74,95,65,80,59,0,32,30,49,1250,122,490,85.35,175,131.23,940,176.28,66845,807,64430,794,75,62,170,150,1205,150,20,33,61800,800,590,97,200,145,290,132,0,32,80,100,2415,53,665,119.49,370,208.63,1495,202.36,54810,596,53250,577,30,28,165,107,1010,100,20,33,51365,576,460,74,95,65,80,59,0,32,30,49,1555,52,490,85.35,260,125.2,1090,120.44
47005,"State House District 5 (2022), Tennessee",Tennessee,State House District 5 (2022),47,5,70270,178,68080,77,55,45,380,98,1305,219,20,37,64905,67,510,47,100,94,665,233,0,32,145,170,2190,177,565,72.51,480,135.79,1970,321.36,56710,189,55425,77,40,42,290,58,1030,122,20,37,53180,66,410,30,25,44,350,131,0,32,85,83,1285,186,450,60.73,315,72.8,1380,181.85,70920,0,68255,0,55,47,390,92,1335,228,20,37,65035,32,510,47,100,94,665,233,0,32,145,170,2660,0,565,73.77,490,131.53,2000,327.56,57315,30,55600,29,45,43,305,47,1055,123,20,37,53310,32,410,30,25,44,350,131,0,32,85,83,1715,0,455,61.42,330,64.38,1405,182.52
47006,"State House District 6 (2022), Tennessee",Tennessee,State House District 6 (2022),47,6,67270,1864,65195,1806,50,59,920,240,1805,469,35,57,60525,1816,615,108,255,107,800,269,20,36,165,162,2075,497,685,128.22,1175,262.77,2625,541.87,54740,1428,53445,1427,20,23,630,208,1385,327,35,57,49965,1416,545,86,190,88,515,225,20,32,145,156,1295,299,585,94.6,820,225.85,1920,398.22,68230,1935,65860,1860,50,59,1260,303,1855,491,35,57,60790,1842,615,108,260,106,810,270,20,36,165,162,2370,549,685,128.22,1520,321.01,2685,561.5,55585,1472,54050,1459,20,23,955,236,1435,346,35,57,50180,1427,545,86,195,89,525,226,20,32,145,156,1535,321,585,94.6,1150,252.22,1980,414.51
47007,"State House District 7 (2022), Tennessee",Tennessee,State House District 7 (2022),47,7,64840,1960,61870,1893,30,26,620,193,2940,484,0,32,56390,1840,270,96,355,175,1015,297,10,17,240,160,2970,482,310,100.9,975,260.53,3965,568.11,52280,1497,50655,1485,30,26,540,184,2375,332,0,32,46640,1430,240,83,235,108,430,154,10,17,155,110,1625,327,280,88.62,775,213.35,2815,366.37,66460,1934,62475,1862,30,26,800,247,3245,462,0,32,56510,1842,270,96,355,175,1015,297,10,17,240,160,3985,549,310,100.9,1155,302.71,4270,549.49,53760,1472,51170,1459,30,26,720,215,2590,314,0,32,46760,1427,240,83,235,108,430,154,10,17,155,110,2590,321,280,88.62,955,240.6,3030,350.14
47008,"State House District 8 (2022), Tennessee",Tennessee,State House District 8 (2022),47,8,66835,1791,65110,1799,50,40,240,125,1560,379,40,49,61835,1779,425,91,315,181,620,202,0,32,20,24,1725,458,475,104.43,555,219.97,2180,430.66,54945,1448,53785,1455,45,34,145,83,1225,281,40,49,51580,1420,395,82,130,82,215,108,0,32,20,24,1155,316,440,94.36,275,116.67,1440,302.74,67885,1809,65400,1785,50,40,285,121,1620,378,40,49,62025,1777,425,91,315,181,620,202,0,32,20,24,2485,566,475,104.43,600,217.72,2240,429.78,55900,1457,54030,1452,45,34,185,87,1280,283,40,49,51725,1420,395,82,130,82,215,108,0,32,20,24,1870,385,440,94.36,315,119.55,1495,304.59
47009,"State House District 9 (2022), Tennessee",Tennessee,State House District 9 (2022),47,9,67955,1145,66900,1156,45,33,250,114,750,240,0,32,64660,1176,665,79,140,85,205,112,30,52,150,85,1060,234,740,100.17,390,142.2,985,269.9,54385,853,53650,879,40,30,215,100,610,188,0,32,51800,878,540,69,120,85,170,93,30,52,125,78,735,179,610,91.46,335,131.24,810,216.09,68505,1150,67250,1151,45,33,330,132,770,242,0,32,64915,1180,665,79,140,85,205,112,30,52,150,85,1255,234,740,100.17,470,157.0,1005,271.68,54910,850,53980,869,40,30,290,118,630,191,0,32,52035,882,540,69,120,85,170,93,30,52,125,78,930,171,610,91.46,410,145.43,830,218.71
47010,"State House District 10 (2022), Tennessee",Tennessee,State House District 10 (2022),47,10,69865,1185,63925,1089,80,46,285,148,1765,365,205,189,60040,1021,355,75,160,104,935,367,15,20,80,71,5940,605,450,90.23,445,180.89,2715,517.99,53045,1024,50705,908,80,46,225,122,1505,274,110,124,48080,852,255,67,60,69,310,249,15,20,65,59,2340,439,350,83.7,285,140.16,1830,370.78,73790,1100,64805,1038,80,46,600,176,1765,365,570,450,60170,1029,355,75,230,185,935,367,15,20,80,71,8985,491,450,90.23,830,255.34,2715,517.99,56640,928,51550,848,80,46,505,106,1505,274,475,373,48205,856,255,67,130,110,310,249,15,20,65,58,5085,342,350,83.7,635,152.76,1830,370.78
47011,"State House District 11 (2022), Tennessee",Tennessee,State House District 11 (2022),47,11,69485,1527,66695,1519,160,81,180,56,1210,277,50,52,63425,1508,730,101,95,64,735,310,0,32,110,96,2790,543,890,133.36,275,85.04,1945,416.96,55260,1271,53780,1197,100,47,75,35,990,196,50,52,51545,1199,625,96,65,48,310,160,0,32,25,27,1480,324,725,111.58,140,59.41,1300,255.03,70190,1512,66955,1522,160,81,355,115,1215,277,50,52,63510,1517,730,101,95,64,735,310,0,32,110,96,3235,624,890,133.36,450,131.61,1950,416.96,55940,1261,54040,1194,100,47,250,99,990,197,50,52,51630,1206,625,96,65,48,310,160,0,32,25,27,1900,388,725,111.58,315,110.02,1300,255.8
47012,"State House District 12 (2022), Tennessee",Tennessee,State House District 12 (2022),47,12,63080,1528,59885,1480,100,67,425,212,770,174,50,93,57140,1342,420,105,260,172,525,254,20,33,170,129,3195,640,540,128.85,685,273.0,1315,309.65,49430,1109,48340,1120,100,68,290,142,725,167,0,32,46350,1033,335,87,220,162,260,163,20,33,40,46,1095,293,455,115.25,510,215.43,1005,235.68,67660,1607,60680,1526,100,67,720,274,770,174,50,93,57575,1372,420,105,330,195,525,254,20,33,170,129,6980,715,540,128.85,1050,336.3,1315,309.65,53155,1215,49125,1174,100,68,585,201,725,167,0,32,46785,1073,335,87,280,170,260,163,20,33,40,46,4025,411,455,115.25,865,263.25,1005,235.68
47013,"State House District 13 (2022), Tennessee",Tennessee,State House District 13 (2022),47,13,64095,2650,58410,2683,45,54,2210,593,11505,1789,60,38,42315,2522,325,143,575,360,990,382,20,40,360,141,5685,909,390,158.0,2785,693.72,12515,1829.77,46115,2039,43240,2092,45,54,1590,434,8370,1156,60,38,32050,1871,245,104,310,312,485,336,20,40,55,68,2875,592,310,123.82,1900,534.51,8875,1204.5,69180,2917,60185,2813,45,54,3055,807,12005,1791,60,38,42720,2515,325,143,575,360,1015,386,20,40,360,141,8990,1399,390,158.0,3630,883.66,13040,1832.56,50655,2289,44845,2176,45,54,2400,647,8825,1155,60,38,32370,1870,245,104,310,312,515,348,20,40,55,68,5810,978,310,123.82,2710,718.3,9360,1206.95
47014,"State House District 14 (2022), Tennessee",Tennessee,State House District 14 (2022),47,14,69545,2163,67210,2237,60,43,2145,406,1525,494,75,65,61820,2127,300,106,440,176,700,307,15,26,135,102,2340,547,375,117.31,2585,442.51,2240,582.2,52365,1559,50595,1512,45,34,1480,348,1260,412,65,61,46980,1408,195,74,205,101,255,164,15,26,90,87,1770,403,255,85.49,1685,362.36,1530,444.2,71230,2167,68615,2235,60,43,2870,510,1575,506,75,65,62390,2131,300,106,445,175,750,310,15,26,135,102,2615,586,375,117.31,3315,539.19,2340,593.98,53870,1549,51860,1476,45,34,2165,401,1280,416,65,61,47490,1399,195,74,205,101,305,182,15,26,90,87,2010,433,255,85.49,2370,413.52,1600,454.81
47015,"State House District 15 (2022), Tennessee",Tennessee,State House District 15 (2022),47,15,68295,2209,64875,2205,35,28,625,246,17400,1211,0,32,43900,1971,395,100,365,135,1875,479,50,44,225,119,3420,654,480,112.78,990,280.61,19325,1303.03,56525,1804,54520,1789,35,28,585,227,13150,880,0,32,38950,1513,380,100,355,134,805,256,50,44,205,115,2005,391,465,112.78,940,263.6,14005,917.54,70865,2246,66025,2247,55,38,960,391,17880,1273,0,32,44200,2001,395,100,365,135,1875,479,50,44,250,126,4840,889,500,115.67,1325,413.65,19805,1360.85,58830,1818,55505,1820,45,31,875,327,13515,899,0,32,39250,1539,380,100,355,134,805,256,50,44,230,120,3325,594,475,113.56,1230,353.39,14370,935.77
47016,"State House District 16 (2022), Tennessee",Tennessee,State House District 16 (2022),47,16,63790,2483,60675,2338,50,55,555,246,2430,695,0,32,56030,2327,340,98,320,186,760,388,170,255,25,38,3115,809,560,278.66,875,308.4,3360,835.82,51175,1974,49710,1929,50,55,480,219,1690,438,0,32,46465,1907,295,90,140,102,400,297,170,255,25,38,1465,395,515,275.95,620,241.59,2260,587.43,66040,2754,61810,2464,50,55,695,280,2635,768,0,32,56815,2418,340,98,320,186,760,388,170,255,25,37,4230,1170,560,278.66,1015,336.15,3565,897.44,53065,2144,50485,1984,50,55,620,249,1860,486,0,32,46925,1939,295,90,140,102,400,297,170,255,25,37,2580,691,515,275.95,760,269.08,2430,624.04
47017,"State House District 17 (2022), Tennessee",Tennessee,State House District 17 (2022),47,17,67385,1914,64340,1886,75,66,350,164,490,138,4,12,62100,1781,570,126,110,53,510,261,10,17,120,115,3040,678,655,143.25,460,172.35,1010,295.73,54155,1577,52485,1541,75,66,170,84,440,135,4,12,50915,1469,495,107,35,32,230,164,10,17,105,103,1670,368,580,126.86,205,89.89,680,213.1,68360,1967,64745,1936,75,66,590,356,490,138,4,12,62265,1784,570,126,110,53,510,261,10,17,120,115,3615,857,655,143.25,700,359.92,1010,295.73,55110,1594,52885,1574,75,66,410,233,440,135,4,12,51080,1464,495,107,35,32,230,164,10,17,105,103,2225,513,580,126.86,445,235.19,680,213.1
47018,"State House District 18 (2022), Tennessee",Tennessee,State House District 18 (2022),47,18,68755,2433,65705,2450,45,34,1360,403,3985,960,70,96,58055,2548,385,98,590,228,935,295,0,32,280,168,3050,746,430,108.55,1950,463.03,4920,1004.81,54065,1886,52485,1888,40,31,1130,350,3000,714,55,76,46935,1895,275,71,300,148,560,237,0,32,190,145,1580,484,315,83.82,1430,380.01,3560,752.99,71825,2572,66870,2492,45,34,2015,548,4055,963,70,96,58480,2551,385,98,600,230,935,295,0,32,280,168,4955,1122,430,108.55,2615,594.31,4990,1007.68,56335,1910,53495,1878,40,31,1660,411,3070,720,55,76,47330,1903,275,71,315,149,560,237,0,32,190,145,2845,637,315,83.82,1975,437.18,3630,758.68
47019,"State House District 19 (2022), Tennessee",Tennessee,State House District 19 (2022),47,19,69000,2385,67255,2299,90,51,1135,564,2465,526,0,32,62035,2217,495,125,250,112,665,253,60,55,55,48,1745,474,645,145.78,1385,575.01,3190,586.27,53805,1854,52985,1815,80,53,875,477,1680,338,0,32,49410,1748,415,111,130,79,280,136,60,55,55,48,825,256,555,134.74,1005,483.5,2020,368.46,69925,2432,67545,2295,90,51,1200,571,2645,600,0,32,62080,2221,495,125,250,112,665,253,60,55,55,48,2380,634,645,145.78,1450,581.88,3370,653.48,54540,1888,53190,1816,80,53,935,483,1800,377,0,32,49435,1752,415,111,130,79,280,136,60,55,55,48,1350,383,555,134.74,1065,489.42,2140,404.54
47020,"State House District 20 (2022), Tennessee",Tennessee,State House District 20 (2022),47,20,68495,1792,65885,1776,25,25,615,174,2050,489,0,32,61410,1785,620,101,290,155,735,366,75,91,70,62,2615,465,720,138.23,905,233.03,2860,617.54,53080,1469,51940,1452,25,25,540,156,1665,370,0,32,48670,1432,475,79,165,103,310,259,40,58,45,51,1140,278,540,101.14,705,186.94,2015,455.35,69860,1808,66250,1785,25,25,765,188,2060,488,0,32,61605,1777,620,101,290,155,735,366,75,91,70,62,3615,565,720,138.23,1055,243.66,2870,616.75,54375,1458,52300,1451,25,25,695,168,1675,372,0,32,48865,1420,475,79,165,103,310,259,40,58,45,51,2075,387,540,101.14,860,197.06,2025,456.98
47021,"State House District 21 (2022), Tennessee",Tennessee,State House District 21 (2022),47,21,66465,1415,62975,1461,80,49,470,144,1335,205,0,32,59880,1500,570,121,100,73,400,163,20,33,115,88,3485,446,670,134.65,570,161.45,1755,263.98,53815,1342,52015,1372,60,34,305,93,1105,137,0,32,49755,1388,480,105,90,71,145,98,20,33,55,65,1800,275,560,115.2,395,117.0,1270,171.64,68415,1444,63230,1480,80,49,555,181,1335,205,0,32,60050,1520,570,121,100,73,400,163,20,33,115,88,5185,521,670,134.65,655,195.17,1755,263.98,55405,1371,52270,1378,60,34,390,106,1105,137,0,32,49925,1393,480,105,90,71,145,98,20,33,55,65,3135,333,560,115.2,480,127.58,1270,171.64
47022,"State House District 22 (2022), Tennessee",Tennessee,State House District 22 (2022),47,22,68325,1545,67175,1479,95,57,230,121,1145,406,0,32,64495,1563,635,80,240,150,295,123,0,32,40,43,1150,370,730,103.31,470,192.72,1440,425.43,54170,1119,53465,1121,90,46,230,121,885,294,0,32,51355,1162,525,86,70,62,265,114,0,32,40,43,705,192,615,102.65,300,135.96,1150,316.95,68980,1542,67300,1488,95,57,250,122,1155,409,0,32,64585,1564,640,79,240,150,295,123,0,32,40,43,1680,476,735,102.54,490,193.35,1450,428.29,54700,1135,53590,1128,90,46,250,122,900,295,0,32,51445,1161,530,85,70,62,265,114,0,32,40,43,1110,297,620,101.81,320,136.85,1165,317.88
47023,"State House District 23 (2022), Tennessee",Tennessee,State House District 23 (2022),47,23,66525,1010,64650,1016,55,40,380,86,1710,227,0,32,60670,1024,820,92,50,34,900,212,0,32,55,49,1875,298,875,105.3,430,92.48,2610,312.25,51880,854,50980,831,50,38,240,86,1395,171,0,32,48195,829,660,77,40,32,345,158,0,32,50,49,900,282,710,91.64,280,91.76,1740,235.01,67405,1016,64830,1015,55,40,475,59,1720,224,0,32,60750,1025,820,92,50,34,900,212,0,32,60,49,2575,127,875,105.3,525,68.1,2620,310.07,52745,832,51160,827,50,38,335,58,1405,166,0,32,48270,822,660,77,40,32,345,158,0,32,50,51,1585,69,710,91.64,375,66.24,1750,231.4
47024,"State House District 24 (2022), Tennessee",Tennessee,State House District 24 (2022),47,24,68700,1550,62705,1494,65,53,645,201,4285,514,10,16,55750,1539,505,82,145,85,1205,363,15,26,85,60,5990,484,585,101.04,790,218.23,5505,629.79,53200,1146,50045,1152,50,43,535,182,3025,374,10,16,45340,1156,390,72,45,36,560,219,15,26,75,64,3155,306,455,87.8,580,185.53,3600,434.18,71540,1541,63895,1492,65,53,1140,176,4520,497,10,16,56165,1564,505,82,185,96,1205,363,15,26,85,60,7645,443,585,101.04,1325,200.48,5740,616.0,55700,1140,51020,1140,50,43,910,142,3260,352,10,16,45665,1161,390,72,85,73,560,219,15,26,75,64,4680,270,455,87.8,995,159.67,3835,415.38
47025,"State House District 25 (2022), Tennessee",Tennessee,State House District 25 (2022),47,25,69550,743,67245,659,75,44,150,121,535,96,0,32,65465,657,585,79,30,35,95,70,0,32,305,174,2305,384,660,95.92,180,125.96,630,123.04,57240,567,55845,515,75,44,150,121,445,114,0,32,54295,507,520,84,25,28,30,39,0,32,305,174,1395,241,595,100.08,175,124.2,475,124.66,70550,667,67560,625,75,44,220,157,535,96,0,32,65710,640,585,79,30,35,95,70,0,32,305,174,2990,309,660,95.92,250,160.85,630,123.04,58035,507,56165,487,75,44,220,157,445,114,0,32,54540,496,520,84,25,28,30,39,0,32,305,174,1870,203,595,100.08,245,159.48,475,124.66
47026,"State House District 26 (2022), Tennessee",Tennessee,State House District 26 (2022),47,26,71665,2455,69005,2427,40,30,1320,405,3480,763,10,16,62885,2237,290,100,310,180,490,294,0,32,180,128,2660,600,330,109.2,1630,443.2,3970,818.31,57355,1869,55580,1827,40,30,1055,310,2805,589,10,16,51025,1748,260,86,140,107,150,98,0,32,100,77,1775,371,300,96.54,1195,327.95,2955,597.95,72800,2475,69495,2445,40,30,1565,503,3565,761,10,16,63045,2247,290,100,310,180,490,294,0,32,180,128,3305,750,330,109.2,1875,534.24,4055,816.44,58455,1909,56040,1860,40,30,1285,407,2875,579,10,16,51185,1751,260,86,140,107,150,98,0,32,100,77,2415,517,300,96.54,1425,420.83,3025,588.11
47027,"State House District 27 (2022), Tennessee",Tennessee,State House District 27 (2022),47,27,73020,2068,71310,2082,30,30,900,309,2460,707,30,32,65045,2076,710,120,590,226,1200,616,0,32,345,252,1710,507,740,127.77,1490,382.83,3660,938.26,57275,1551,56385,1571,30,30,715,252,1725,421,30,32,52265,1543,615,103,220,111,650,522,0,32,130,122,890,306,645,111.95,935,275.36,2375,671.38,74205,2079,71775,2077,30,30,1090,327,2520,708,30,32,65135,2066,710,120,670,233,1245,631,0,32,345,252,2430,646,740,127.77,1760,401.52,3765,948.92,58365,1557,56805,1556,30,30,900,271,1790,423,30,32,52355,1532,615,103,260,118,695,528,0,32,130,122,1565,404,645,111.95,1160,295.58,2485,677.3
47028,"State House District 28 (2022), Tennessee",Tennessee,State House District 28 (2022),47,28,69155,2108,63935,2152,35,30,320,152,38300,1729,45,63,22325,1441,250,122,240,118,1795,591,415,251,205,117,5225,803,700,280.69,560,192.43,40510,1844.38,52990,1515,51305,1566,35,30,270,142,28985,1283,45,63,20245,1250,180,82,175,93,950,368,320,199,105,80,1680,412,535,217.31,445,169.74,30255,1349.49,74430,2146,65105,2103,35,30,495,209,39055,1715,45,63,22550,1423,250,122,240,118,1795,591,415,251,220,121,9325,992,700,280.69,735,240.01,41265,1831.26,57250,1513,52280,1531,35,30,420,180,29580,1215,45,63,20455,1240,180,82,175,93,950,368,320,199,120,86,4970,576,535,217.31,595,202.61,30850,1285.01
47029,"State House District 29 (2022), Tennessee",Tennessee,State House District 29 (2022),47,29,72635,2168,68885,2232,125,115,1205,344,10810,1431,4,6,54515,2112,470,154,480,243,1015,409,120,141,140,101,3750,809,715,238.37,1685,421.17,11945,1494.97,57830,1752,55570,1732,40,42,935,270,8835,1226,4,6,44625,1706,380,117,235,145,305,145,120,141,90,76,2260,483,540,187.97,1170,306.47,9260,1242.57,75080,2127,70235,2232,125,115,1745,430,11000,1418,4,6,55135,2142,470,154,480,243,1015,409,120,141,145,104,4845,1025,715,238.37,2225,493.91,12135,1482.53,59910,1725,56770,1739,40,42,1475,352,9010,1209,4,6,45105,1726,380,117,235,145,305,145,120,141,95,79,3140,596,540,187.97,1710,380.7,9435,1225.8
47030,"State House District 30 (2022), Tennessee",Tennessee,State House District 30 (2022),47,30,70965,1845,65030,1960,50,41,1925,435,8990,1168,20,31,52390,1931,465,128,310,150,760,332,50,65,70,63,5940,852,565,149.3,2235,460.14,9800,1216.01,55230,1344,52405,1481,25,25,1500,378,6555,867,20,31,43290,1635,395,103,195,112,340,180,50,65,35,36,2820,552,470,124.33,1695,394.24,6945,887.87,74400,1936,65950,2002,50,41,2425,545,9020,1160,20,31,52705,1974,465,128,340,158,795,333,50,65,80,68,8450,1105,565,149.3,2765,567.44,9865,1208.6,58415,1417,53265,1523,25,25,1935,452,6585,863,20,31,43610,1683,395,103,225,118,375,195,50,65,45,42,5150,747,470,124.33,2160,467.15,7010,887.14
47031,"State House District 31 (2022), Tennessee",Tennessee,State House District 31 (2022),47,31,69650,307,67420,93,95,60,250,90,1550,347,20,34,63845,70,835,68,15,28,665,376,65,81,70,77,2235,329,995,121.59,265,94.25,2280,518.02,55355,501,54320,419,95,60,125,90,1470,389,20,34,51635,68,630,83,15,28,210,145,65,81,55,70,1035,310,790,130.58,140,94.25,1745,422.97,70905,0,67630,37,95,60,375,95,1550,347,20,34,63935,32,835,68,15,28,665,376,65,81,70,77,3275,36,995,121.59,390,99.04,2280,518.02,56560,427,54530,426,95,60,250,90,1470,389,20,34,51720,32,630,83,15,28,210,145,65,81,55,70,2030,37,790,130.58,265,94.25,1745,422.97
47032,"State House District 32 (2022), Tennessee",Tennessee,State House District 32 (2022),47,32,71470,1232,68715,1230,100,64,405,195,1530,232,0,32,65060,1229,670,105,115,71,740,238,4,14,90,84,2755,378,774,123.76,520,207.52,2274,332.66,57710,1158,56155,1126,50,42,380,184,1325,169,0,32,53465,1094,595,79,60,43,245,132,4,14,30,33,1555,211,649,90.56,440,188.96,1574,214.9,72630,1240,69040,1239,100,64,490,181,1530,232,0,32,65300,1245,670,105,115,71,740,238,4,14,90,84,3590,490,774,123.76,605,194.43,2274,332.66,58755,1148,56450,1139,50,42,465,170,1325,169,0,32,53675,1111,595,79,60,43,245,132,4,14,30,33,2305,318,649,90.56,525,175.35,1574,214.9
47033,"State House District 33 (2022), Tennessee",Tennessee,State House District 33 (2022),47,33,66420,1022,64165,968,75,39,660,191,2610,349,80,129,58580,921,560,72,235,135,1135,330,45,63,185,129,2260,228,680,103.32,895,233.89,3790,484.43,52035,884,50765,864,70,36,470,139,2005,232,25,31,46915,807,465,68,215,125,445,190,45,63,110,78,1270,188,580,99.44,685,186.94,2495,306.42,67710,947,64950,932,85,44,1015,152,2615,350,80,129,58920,921,560,72,235,135,1205,350,45,63,185,129,2765,178,690,105.3,1250,203.3,3865,498.97,53205,813,51465,806,80,42,770,125,2010,232,25,31,47225,796,465,68,215,125,510,219,45,63,110,78,1745,116,590,101.77,985,176.78,2565,325.2
47034,"State House District 34 (2022), Tennessee",Tennessee,State House District 34 (2022),47,34,68715,3166,64275,3198,0,32,2165,762,9230,1326,0,32,49540,2771,305,124,395,189,2225,784,10,19,395,148,4440,1249,315,129.46,2560,785.09,11465,1540.55,51455,2358,48590,2336,0,32,1655,553,7360,1109,0,32,38055,2122,275,109,125,98,895,374,10,19,215,132,2865,789,285,115.18,1780,561.62,8265,1170.52,72775,2992,66000,3092,0,32,2760,858,9500,1388,0,32,50375,2740,305,124,395,189,2260,789,10,19,395,148,6775,1716,315,129.46,3155,878.57,11770,1596.69,54670,2234,49795,2305,0,32,2025,559,7625,1149,0,32,38590,2116,275,109,125,98,930,379,10,19,215,132,4875,1135,285,115.18,2150,567.53,8565,1210.04
47035,"State House District 35 (2022), Tennessee",Tennessee,State House District 35 (2022),47,35,69665,1860,64045,1775,65,48,730,338,9925,1033,25,34,51730,1763,520,151,180,119,560,230,0,32,305,246,5625,970,585,161.64,910,358.34,10485,1058.78,54065,1542,50685,1479,65,48,560,248,6690,747,25,34,42350,1416,495,147,110,82,240,119,0,32,150,191,3375,646,560,157.91,670,261.2,6930,757.1,71515,1814,64570,1793,65,48,1015,333,9940,1034,25,34,51950,1774,520,151,180,119,560,230,0,32,305,246,6945,1145,585,161.64,1195,353.62,10500,1059.75,55750,1432,51150,1494,65,48,780,248,6705,750,25,34,42575,1419,495,147,110,82,240,119,0,32,150,191,4600,737,560,157.91,890,261.2,6945,760.06
