GEOID20,NAME,STATE,DIST,STATEFP,SLDL,C_TOT23,CTOTMOE,C_NHS23,CNHSMOE,C_AMI23,CAMIMOE,C_ASI23,CASIMOE,C_BLA23,CBLAMOE,C_NHP23,CNHPMOE,C_WHT23,CWHTMOE,C_AIW23,CAIWMOE,C_ASW23,CASWMOE,C_BLW23,CBLWMOE,C_AIB23,CAIBMOE,C_2OM23,C2OMMOE,C_HSP23,CHSPMOE,C_AIA23,CAIAMOE,C_ASN23,CASNMOE,C_BLK23,CBLKMOE,CVAP_TOT23,CVAPTOTMOE,CVAP_NHS23,CVAPNHSMOE,CVAP_AMI23,CVAPAMIMOE,CVAP_ASI23,CVAPASIMOE,CVAP_BLA23,CVAPBLAMOE,CVAP_NHP23,CVAPNHPMOE,CVAP_WHT23,CVAPWHTMOE,CVAP_AIW23,CVAPAIWMOE,CVAP_ASW23,CVAPASWMOE,CVAP_BLW23,CVAPBLWMOE,CVAP_AIB23,CVAPAIBMOE,CVAP_2OM23,CVAP2OMMOE,CVAP_HSP23,CVAPHSPMOE,CVAP_AIA23,CVAPAIAMOE,CVAP_ASN23,CVAPASNMOE,CVAP_BLK23,CVAPBLKMOE,ALL_TOT23,ALLTOTMOE,ALL_NHS23,ALLNHSMOE,ALL_AMI23,ALLAMIMOE,ALL_ASI23,ALLASIMOE,ALL_BLA23,ALLBLAMOE,ALL_NHP23,ALLNHPMOE,ALL_WHT23,ALLWHTMOE,ALL_AIW23,ALLAIWMOE,ALL_ASW23,ALLASWMOE,ALL_BLW23,ALLBLWMOE,ALL_AIB23,ALLAIBMOE,ALL_2OM23,ALL2OMMOE,ALL_HSP23,ALLHSPMOE,ALL_AIA23,ALLAIAMOE,ALL_ASN23,ALLASNMOE,ALL_BLK23,ALLBLKMOE,VAP_TOT23,VAPTOTMOE,VAP_NHS23,VAPNHSMOE,VAP_AMI23,VAPAMIMOE,VAP_ASI23,VAPASIMOE,VAP_BLA23,VAPBLAMOE,VAP_NHP23,VAPNHPMOE,VAP_WHT23,VAPWHTMOE,VAP_AIW23,VAPAIWMOE,VAP_ASW23,VAPASWMOE,VAP_BLW23,VAPBLWMOE,VAP_AIB23,VAPAIBMOE,VAP_2OM23,VAP2OMMOE,VAP_HSP23,VAPHSPMOE,VAP_AIA23,VAPAIAMOE,VAP_ASN23,VAPASNMOE,VAP_BLK23,VAPBLKMOE
47084,"State House District 84 (2022), Tennessee",Tennessee,State House District 84 (2022),47,84,63230,3527,58580,3416,15,19,175,122,54410,3500,70,107,3380,569,50,45,55,56,380,271,20,25,30,45,4650,1084,85,54.87,230,134.24,54810,3510.56,45155,2152,43235,2065,15,19,165,114,39450,2169,70,107,3300,557,50,45,40,49,120,73,20,25,0,32,1920,594,85,54.87,205,124.08,39590,2170.37,66775,3571,58900,3436,15,19,205,129,54650,3525,70,107,3430,571,50,45,55,56,380,271,20,25,30,45,7875,1425,85,54.87,260,140.63,55050,3535.49,48240,2225,43485,2093,15,19,190,119,39625,2209,70,107,3350,561,50,45,40,49,120,73,20,25,0,32,4755,879,85,54.87,230,128.69,39765,2210.35
47085,"State House District 85 (2022), Tennessee",Tennessee,State House District 85 (2022),47,85,69355,3378,67365,3285,40,63,790,240,59690,3310,0,32,5840,1167,30,34,205,155,520,517,140,144,105,112,1990,569,210,160.81,995,285.7,60350,3353.23,50810,2248,49715,2194,35,54,610,197,43580,2209,0,32,5025,1045,30,34,205,155,115,94,45,53,70,102,1095,376,110,82.95,815,250.67,43740,2211.63,71055,3466,68090,3255,40,63,1455,450,59730,3311,0,32,5865,1169,30,34,205,155,520,517,140,144,105,112,2965,765,210,160.81,1660,475.95,60390,3354.21,52465,2303,50445,2173,35,54,1275,415,43615,2208,0,32,5050,1045,30,34,205,155,115,94,45,53,70,102,2020,571,110,82.95,1480,443.0,43775,2210.64
47086,"State House District 86 (2022), Tennessee",Tennessee,State House District 86 (2022),47,86,66860,3059,64905,3033,45,37,705,281,46010,2884,0,32,16590,1257,200,102,150,119,680,341,225,105,305,273,1955,702,470,150.99,855,305.16,46915,2905.99,51505,2100,50800,2046,45,37,625,260,34525,2004,0,32,14645,950,175,88,80,58,315,180,210,101,180,173,705,229,430,138.97,705,266.39,35050,2014.6,68330,3051,65785,3039,45,37,1195,337,46080,2886,0,32,16895,1270,200,102,165,121,680,341,225,105,305,273,2545,805,470,150.99,1360,358.06,46985,2907.97,52880,2088,51660,2041,45,37,1090,319,34600,2010,0,32,14950,967,175,88,95,63,315,180,210,101,180,173,1225,334,430,138.97,1185,325.16,35125,2020.57
47087,"State House District 87 (2022), Tennessee",Tennessee,State House District 87 (2022),47,87,68145,3608,62750,3642,4,8,230,182,53690,3476,0,32,7570,845,65,51,35,43,940,398,85,117,130,75,5395,1043,154,127.88,265,187.01,54715,3500.67,45765,1945,43800,2012,4,8,145,127,36485,1921,0,32,6460,688,55,47,20,30,535,330,20,29,70,49,1965,571,79,55.8,165,130.5,37040,1949.35,73275,3626,64270,3678,4,8,280,217,54915,3461,0,32,7820,979,65,51,35,43,940,398,85,117,130,75,9005,1325,154,127.88,315,221.22,55940,3485.77,50220,1982,45115,1973,4,8,200,156,37560,1875,0,32,6655,720,55,47,20,30,535,330,20,29,70,49,5105,877,79,55.8,220,158.86,38115,1904.04
47088,"State House District 88 (2022), Tennessee",Tennessee,State House District 88 (2022),47,88,68970,3713,66950,3738,25,31,1085,556,47845,3703,20,22,16605,1362,165,96,185,129,720,509,120,97,175,132,2020,638,310,139.95,1270,570.77,48685,3739.08,50200,2491,49240,2509,25,31,840,409,33675,2450,20,22,14005,1112,165,96,85,74,195,135,120,97,120,103,960,297,310,139.95,925,415.64,33990,2455.63,70915,3800,67770,3754,25,31,1345,604,48130,3712,35,40,16840,1390,165,96,185,129,745,505,120,97,180,132,3145,914,310,139.95,1530,617.62,48995,3747.45,52065,2555,50055,2552,25,31,1100,454,33945,2463,35,40,14240,1144,165,96,85,74,220,141,120,97,120,104,2010,520,310,139.95,1185,459.99,34285,2468.94
47089,"State House District 89 (2022), Tennessee",Tennessee,State House District 89 (2022),47,89,66145,2328,63315,2434,80,69,1205,306,3155,632,140,118,57115,2612,325,117,720,312,430,242,85,85,55,55,2830,657,490,160.23,1925,437.01,3670,682.07,49400,1650,48020,1666,45,34,945,239,2220,447,110,80,43820,1757,280,94,255,148,205,176,85,85,55,55,1380,378,410,131.21,1200,281.11,2510,487.86,68650,2323,64465,2461,80,69,1855,370,3330,685,165,141,57415,2610,325,117,720,312,430,242,85,85,55,55,4185,1074,490,160.23,2575,483.99,3845,731.45,51755,1616,49085,1667,45,34,1560,279,2365,483,130,102,44100,1747,280,94,255,148,205,176,85,85,55,55,2670,715,410,131.21,1815,315.82,2655,521.05
47090,"State House District 90 (2022), Tennessee",Tennessee,State House District 90 (2022),47,90,64195,2210,60885,2181,65,61,750,340,7260,988,25,52,49905,2106,495,145,390,229,1400,414,120,82,470,247,3310,684,680,177.4,1140,409.93,8780,1074.37,52505,1862,51005,1868,65,61,575,250,5730,711,25,52,42985,1750,435,132,245,121,625,266,120,82,190,136,1500,366,620,166.94,820,277.74,6475,763.55,68870,2366,62490,2196,65,61,1415,408,7530,1037,25,52,50525,2125,495,145,435,288,1400,414,120,82,475,245,6375,1006,680,177.4,1850,499.41,9050,1119.59,56330,1881,52485,1853,65,61,1190,318,5925,732,25,52,43605,1766,435,132,290,174,625,266,120,82,200,136,3845,588,620,166.94,1480,362.49,6670,783.14
47091,"State House District 91 (2022), Tennessee",Tennessee,State House District 91 (2022),47,91,71410,2988,67960,3090,55,53,820,274,49035,2984,0,32,16760,965,130,83,180,96,585,286,75,68,320,201,3450,893,260,119.67,1000,290.33,49695,2998.45,55525,1811,54085,1894,55,53,695,228,37545,1850,0,32,14980,911,95,68,115,68,375,186,75,68,150,109,1440,365,225,109.8,810,237.92,37995,1860.57,74355,3091,68910,3131,55,53,1120,330,49425,3002,0,32,17010,978,130,82,185,98,585,286,75,68,320,201,5445,1386,260,118.98,1305,344.24,50085,3016.36,57775,1845,55010,1940,55,53,990,284,37920,1880,0,32,15225,918,100,68,115,68,375,186,75,68,150,109,2765,659,230,109.8,1105,292.03,38370,1890.4
47092,"State House District 92 (2022), Tennessee",Tennessee,State House District 92 (2022),47,92,72410,886,68270,1062,65,49,630,274,2485,467,0,32,62885,1100,345,105,315,313,1275,307,205,198,65,78,4140,603,615,229.41,945,415.99,3965,592.91,52490,1187,50475,1157,55,40,450,216,1825,309,0,32,46685,1171,290,88,155,147,760,217,205,198,50,73,2015,395,550,220.34,605,261.28,2790,426.35,73490,842,68615,1064,65,49,745,334,2495,469,0,32,63095,1091,345,105,315,313,1275,307,205,198,65,78,4880,615,615,229.41,1060,457.74,3975,594.49,53540,1142,50785,1152,55,40,550,253,1835,309,0,32,46880,1159,290,88,155,147,760,217,205,198,50,73,2755,391,550,220.34,705,292.61,2800,426.35
47093,"State House District 93 (2022), Tennessee",Tennessee,State House District 93 (2022),47,93,62580,3531,55900,3295,45,61,410,215,40975,3269,0,32,13760,1480,170,85,25,39,300,165,145,98,70,92,6685,1413,360,143.35,435,218.51,41420,3274.63,45965,2123,43995,2088,45,61,325,193,31780,2119,0,32,11480,1044,125,62,25,39,95,105,85,60,40,39,1965,455,255,105.66,350,196.9,31960,2122.45,70005,3944,56640,3332,45,61,655,314,41310,3308,0,32,13915,1493,170,85,25,39,300,165,145,98,70,95,13365,2243,360,143.35,680,316.41,41755,3313.56,51680,2352,44665,2122,45,61,550,289,32070,2151,0,32,11635,1058,125,62,25,39,95,105,85,60,40,41,7010,1019,255,105.66,575,291.62,32250,2154.4
47094,"State House District 94 (2022), Tennessee",Tennessee,State House District 94 (2022),47,94,70255,524,68605,415,90,68,335,113,13345,331,0,32,53255,366,510,109,150,47,820,278,25,28,80,72,1650,219,625,131.49,485,122.38,14190,433.16,56460,477,55575,368,70,42,190,42,10605,277,0,32,43750,291,415,134,80,38,375,164,25,28,60,67,885,220,510,143.19,270,56.64,11005,323.12,70925,403,68855,403,90,68,405,114,13360,333,0,32,53420,352,510,109,150,47,820,278,25,28,80,72,2070,13,625,131.49,555,123.31,14205,434.69,57105,357,55800,355,70,42,260,39,10620,279,0,32,43895,275,415,134,80,38,375,164,25,28,60,67,1305,13,510,143.19,340,54.45,11020,324.84
47095,"State House District 95 (2022), Tennessee",Tennessee,State House District 95 (2022),47,95,66725,2392,63920,2463,4,17,4145,799,7595,2115,220,337,50230,1949,520,157,725,264,355,174,10,15,120,158,2805,1070,534,158.63,4870,841.48,7960,2122.2,47835,1905,46520,1934,4,17,2190,536,5775,1544,145,226,37485,1411,365,117,240,120,200,132,10,15,105,158,1315,498,379,119.18,2430,549.27,5985,1549.7,71265,2340,67935,2428,4,17,7130,1120,7865,2135,220,337,50990,1958,520,157,725,264,355,174,10,15,120,158,3330,1217,534,158.63,7855,1150.69,8230,2142.13,51830,1772,50055,1829,4,17,4875,773,5890,1539,145,226,38220,1459,365,117,240,120,200,132,10,15,105,158,1770,553,379,119.18,5115,782.26,6100,1544.72
47096,"State House District 96 (2022), Tennessee",Tennessee,State House District 96 (2022),47,96,66070,3389,61605,3451,65,58,1700,605,40340,3425,150,229,17300,1433,100,67,225,203,925,374,185,152,610,544,4465,961,350,175.95,1925,638.15,41450,3448.71,50360,2487,48095,2530,65,58,1305,449,29820,2295,145,229,15570,1173,100,67,205,201,640,312,110,81,140,89,2265,522,275,120.06,1510,491.94,30570,2317.53,69195,3555,62840,3485,65,58,2455,840,40440,3409,150,229,17680,1507,100,67,225,203,925,374,185,152,610,544,6355,1327,350,175.95,2680,864.18,41550,3432.82,53265,2630,49245,2577,65,58,2045,687,29915,2280,145,229,15885,1212,100,67,205,201,640,312,110,81,140,89,4015,828,275,120.06,2250,715.8,30665,2302.67
47097,"State House District 97 (2022), Tennessee",Tennessee,State House District 97 (2022),47,97,67340,3079,60370,2577,10,21,2020,467,10840,1485,120,168,45860,1968,290,99,340,171,805,387,0,32,80,71,6965,1289,300,106.14,2360,497.32,11645,1534.93,51465,2167,48480,2056,10,18,1710,393,7730,984,55,69,38125,1635,245,89,215,99,310,180,0,32,80,71,2985,559,255,96.28,1925,405.28,8040,1000.84,72175,3256,61595,2585,10,21,2630,535,11070,1513,120,168,46235,1987,290,99,355,172,805,387,0,32,80,71,10580,1825,300,106.14,2985,561.97,11875,1562.04,55535,2215,49645,2052,10,18,2300,455,7955,1002,55,69,38475,1645,245,89,215,99,310,180,0,32,80,71,5895,870,255,96.28,2515,465.65,8265,1018.54
47098,"State House District 98 (2022), Tennessee",Tennessee,State House District 98 (2022),47,98,67920,3846,63230,3736,45,35,1245,450,44710,3794,0,32,15730,1585,235,96,85,74,910,375,60,65,215,164,4685,1237,340,121.1,1330,456.04,45680,3813.04,50565,2492,48895,2547,45,35,895,327,33190,2592,0,32,13870,1435,210,93,75,68,455,238,60,65,100,91,1670,503,315,118.74,970,334.0,33705,2603.72,71365,3803,64055,3750,45,35,1890,738,44765,3793,0,32,15845,1591,235,96,85,74,910,375,60,65,225,165,7310,1813,340,121.1,1975,741.7,45735,3812.05,53830,2399,49680,2586,45,35,1500,585,33245,2591,0,32,13985,1444,210,93,75,68,455,238,60,65,110,94,4145,1082,315,118.74,1575,588.94,33760,2602.72
47099,"State House District 99 (2022), Tennessee",Tennessee,State House District 99 (2022),47,99,72300,1818,69525,1820,10,19,1330,417,14045,1448,10,24,52445,1616,540,156,400,195,610,323,15,24,115,87,2770,680,565,158.97,1730,460.34,14670,1483.78,53210,1513,51665,1490,10,19,870,273,10480,1081,10,24,39490,1395,360,121,110,79,235,137,15,24,90,81,1540,442,385,124.81,980,284.2,10730,1089.91,73785,2049,70565,2021,10,19,1770,514,14120,1453,10,24,52935,1731,540,156,430,206,620,323,15,24,115,87,3220,797,565,158.97,2200,553.74,14755,1488.66,54345,1566,52355,1510,10,19,1285,398,10555,1084,10,24,39650,1404,360,121,145,100,245,138,15,24,90,81,1990,540,385,124.81,1430,410.37,10815,1093.01
