GEOID20,NAME,STATE,DIST,STATEFP,SLDU,C_TOT23,CTOTMOE,C_NHS23,CNHSMOE,C_AMI23,CAMIMOE,C_ASI23,CASIMOE,C_BLA23,CBLAMOE,C_NHP23,CNHPMOE,C_WHT23,CWHTMOE,C_AIW23,CAIWMOE,C_ASW23,CASWMOE,C_BLW23,CBLWMOE,C_AIB23,CAIBMOE,C_2OM23,C2OMMOE,C_HSP23,CHSPMOE,C_AIA23,CAIAMOE,C_ASN23,CASNMOE,C_BLK23,CBLKMOE,CVAP_TOT23,CVAPTOTMOE,CVAP_NHS23,CVAPNHSMOE,CVAP_AMI23,CVAPAMIMOE,CVAP_ASI23,CVAPASIMOE,CVAP_BLA23,CVAPBLAMOE,CVAP_NHP23,CVAPNHPMOE,CVAP_WHT23,CVAPWHTMOE,CVAP_AIW23,CVAPAIWMOE,CVAP_ASW23,CVAPASWMOE,CVAP_BLW23,CVAPBLWMOE,CVAP_AIB23,CVAPAIBMOE,CVAP_2OM23,CVAP2OMMOE,CVAP_HSP23,CVAPHSPMOE,CVAP_AIA23,CVAPAIAMOE,CVAP_ASN23,CVAPASNMOE,CVAP_BLK23,CVAPBLKMOE,ALL_TOT23,ALLTOTMOE,ALL_NHS23,ALLNHSMOE,ALL_AMI23,ALLAMIMOE,ALL_ASI23,ALLASIMOE,ALL_BLA23,ALLBLAMOE,ALL_NHP23,ALLNHPMOE,ALL_WHT23,ALLWHTMOE,ALL_AIW23,ALLAIWMOE,ALL_ASW23,ALLASWMOE,ALL_BLW23,ALLBLWMOE,ALL_AIB23,ALLAIBMOE,ALL_2OM23,ALL2OMMOE,ALL_HSP23,ALLHSPMOE,ALL_AIA23,ALLAIAMOE,ALL_ASN23,ALLASNMOE,ALL_BLK23,ALLBLKMOE,VAP_TOT23,VAPTOTMOE,VAP_NHS23,VAPNHSMOE,VAP_AMI23,VAPAMIMOE,VAP_ASI23,VAPASIMOE,VAP_BLA23,VAPBLAMOE,VAP_NHP23,VAPNHPMOE,VAP_WHT23,VAPWHTMOE,VAP_AIW23,VAPAIWMOE,VAP_ASW23,VAPASWMOE,VAP_BLW23,VAPBLWMOE,VAP_AIB23,VAPAIBMOE,VAP_2OM23,VAP2OMMOE,VAP_HSP23,VAPHSPMOE,VAP_AIA23,VAPAIAMOE,VAP_ASN23,VAPASNMOE,VAP_BLK23,VAPBLKMOE
47021,"State Senate District 21 (2022), Tennessee",Tennessee,State Senate District 21 (2022),47,21,181435,3967,161190,3715,215,129,6990,790,23685,2015,130,63,124555,2973,1045,245,2205,614,1600,534,30,28,740,342,20245,1865,1290,278.3,9195,1000.55,25315,2084.75,148595,2945,139095,2925,215,130,5695,614,19825,1547,105,59,109610,2422,840,193,1440,390,765,254,30,28,565,293,9500,956,1085,234.38,7135,727.39,20620,1567.96,207870,4159,171640,3864,215,129,10925,1091,26915,2446,130,63,127675,3014,1045,245,2310,684,1600,534,90,81,740,342,36230,2854,1350,288.49,13235,1287.69,28605,2504.92,170615,3037,147645,2902,215,130,9225,837,21945,1613,105,59,112350,2389,840,193,1545,444,765,254,90,81,565,293,22970,1873,1145,246.39,10770,947.47,22800,1634.88
47022,"State Senate District 22 (2022), Tennessee",Tennessee,State Senate District 22 (2022),47,22,216425,1128,195025,1085,400,173,4305,460,43315,1369,390,160,134160,818,1580,175,1770,388,6050,968,1095,643,1965,589,21400,731,3075,688.48,6075,601.78,50460,1795.73,156975,930,144165,815,340,141,3340,378,32465,772,215,81,101960,607,1250,143,875,262,2100,467,675,395,950,323,12810,672,2265,443.12,4215,459.92,35240,984.94,223100,871,198595,910,400,173,5370,432,44140,1355,610,182,135540,761,1580,175,1770,388,6070,968,1145,640,1965,589,24505,350,3125,685.68,7140,580.66,51355,1784.0,163330,657,147470,660,340,141,4290,340,33200,747,425,63,103285,533,1250,143,875,263,2120,466,730,392,950,323,15860,241,2320,440.45,5165,429.85,36050,963.76
47023,"State Senate District 23 (2022), Tennessee",Tennessee,State Senate District 23 (2022),47,23,215155,1138,205085,1011,400,103,805,189,10455,772,20,27,187740,818,1550,108,560,176,2655,364,10,16,885,397,10070,541,1960,150.1,1365,258.26,13120,853.66,165170,926,160070,762,325,84,600,164,8235,507,20,27,148035,610,1165,84,280,115,910,236,4,10,495,253,5100,468,1494,119.21,880,200.3,9149,559.33,220150,870,206585,909,400,103,1255,286,10690,762,20,27,188530,760,1550,108,560,176,2680,366,10,16,885,397,13565,347,1960,150.1,1815,335.82,13380,845.49,169840,659,161520,657,325,84,1025,256,8470,483,20,27,148825,534,1165,84,280,115,910,236,4,10,495,253,8320,244,1494,119.21,1305,280.64,9384,537.67
47024,"State Senate District 24 (2022), Tennessee",Tennessee,State Senate District 24 (2022),47,24,210910,383,205350,202,660,191,800,197,18900,696,170,112,178455,110,1905,396,595,179,3410,499,45,35,410,172,5560,290,2610,441.05,1395,266.18,22355,857.11,164840,384,162110,203,610,187,605,167,14505,512,100,75,142665,108,1385,291,330,139,1550,320,45,35,310,153,2730,293,2040,347.67,935,217.28,16100,604.79,213045,0,205985,0,660,191,1130,195,18935,692,175,111,178725,32,1905,396,595,179,3410,499,45,35,410,172,7060,0,2610,441.05,1725,264.7,22390,853.87,166840,166,162630,130,610,187,825,164,14540,506,100,74,142935,32,1385,291,330,139,1550,320,45,35,310,153,4210,166,2040,347.67,1155,214.98,16135,599.72
47025,"State Senate District 25 (2022), Tennessee",Tennessee,State Senate District 25 (2022),47,25,200605,602,193500,377,405,164,1155,263,47040,745,125,142,138810,305,2190,468,625,167,2650,384,95,64,405,189,7105,519,2690,500.02,1780,311.54,49785,840.58,155265,446,151535,319,295,127,960,213,35280,585,115,142,111485,251,1810,375,370,127,890,247,80,53,245,125,3735,356,2185,399.45,1330,247.99,36250,637.22,204120,0,194500,165,405,164,1455,276,47120,726,125,142,139410,32,2190,468,640,169,2655,385,95,64,405,189,9620,165,2690,500.02,2095,323.63,49870,824.26,158235,59,152370,136,295,127,1235,216,35360,568,115,142,111950,32,1810,375,385,128,900,247,80,53,245,125,5865,142,2185,399.45,1620,251.08,36340,621.64
47026,"State Senate District 26 (2022), Tennessee",Tennessee,State Senate District 26 (2022),47,26,215505,335,210470,182,230,125,615,177,35835,482,30,42,168240,162,2405,367,615,147,2070,419,150,157,280,150,5035,277,2785,418.29,1230,230.08,38055,657.67,170025,354,167280,223,215,109,455,131,28085,399,30,42,134895,149,1950,333,410,142,900,262,110,106,225,130,2745,272,2275,366.07,865,193.2,29095,488.96,217280,0,211040,0,230,125,740,171,35855,483,30,42,168630,32,2405,367,650,157,2070,419,150,157,280,150,6240,0,2785,418.29,1390,232.14,38075,658.41,171740,134,167805,132,215,109,580,124,28105,398,30,42,135265,32,1950,333,420,142,900,262,110,106,225,130,3930,0,2275,366.07,1000,188.52,29115,488.14
47027,"State Senate District 27 (2022), Tennessee",Tennessee,State Senate District 27 (2022),47,27,210720,1475,201170,1312,80,49,7030,567,8545,690,0,32,179860,1240,965,76,2060,478,1710,680,0,32,920,487,9550,873,1045,95.92,9090,741.6,10255,969.29,156035,1408,150080,1240,80,49,4505,474,6455,426,0,32,135780,1166,730,68,1000,293,965,319,0,32,560,325,5955,704,810,89.72,5505,557.25,7420,533.16,221560,892,208900,1009,80,49,12700,625,8655,705,0,32,181765,1143,965,76,2075,473,1745,684,0,32,920,487,12660,608,1045,95.92,14775,783.81,10400,982.8,165100,1108,156430,1082,80,49,8970,432,6565,421,0,32,137515,1072,730,68,1015,290,1000,332,0,32,560,325,8670,391,810,89.72,9985,520.31,7565,537.11
47028,"State Senate District 28 (2022), Tennessee",Tennessee,State Senate District 28 (2022),47,28,213095,968,201490,1025,165,84,1485,327,16575,808,0,32,176495,1173,1660,222,725,360,3530,653,650,407,205,136,11605,744,2475,471.16,2210,486.34,20755,1115.76,161170,1221,154905,1101,120,68,1100,272,12795,475,0,32,137145,1102,1340,155,315,170,1510,337,460,289,110,71,6265,648,1920,334.92,1415,320.76,14765,650.17,216405,891,202460,1010,165,84,1895,369,16640,802,15,23,176980,1142,1660,222,725,360,3530,653,650,407,205,136,13945,607,2475,471.16,2620,515.52,20820,1111.42,164445,1129,155840,1089,120,68,1495,292,12860,471,15,23,137615,1072,1340,155,315,170,1510,337,460,289,110,71,8605,412,1920,334.92,1810,337.88,14830,647.25
47029,"State Senate District 29 (2022), Tennessee",Tennessee,State Senate District 29 (2022),47,29,199250,4309,192530,4385,120,60,1355,348,147720,4093,10,24,39530,1872,445,132,430,188,1910,822,465,186,545,293,6720,1078,1030,235.84,1785,395.54,150095,4178.87,150545,2876,147345,2875,120,60,1190,314,109480,2663,10,24,34485,1503,395,114,220,107,740,261,360,130,345,181,3200,623,875,183.02,1410,331.73,110580,2678.92,203985,4355,194430,4308,120,60,2145,492,148315,4023,10,24,40020,1889,450,131,450,196,1910,822,465,186,545,293,9555,1441,1035,235.28,2595,529.6,150690,4110.33,154825,2891,149175,2855,120,60,1950,448,110045,2656,10,24,34980,1526,400,114,235,118,740,261,360,130,345,181,5650,914,880,183.02,2185,463.28,111145,2671.96
47030,"State Senate District 30 (2022), Tennessee",Tennessee,State Senate District 30 (2022),47,30,181310,5252,167565,4851,115,84,3455,796,114480,4866,295,248,45120,2187,385,117,385,250,2160,599,310,199,865,578,13740,1730,810,245.65,3840,834.34,116950,4906.77,133335,3130,128295,3010,115,84,2765,596,83395,2924,220,232,39505,1593,365,106,295,212,1200,410,205,136,240,116,5040,700,685,191.8,3060,632.58,84800,2955.74,193870,5506,170850,4895,115,84,5295,1133,115085,4880,310,251,45915,2235,385,117,385,250,2185,602,310,199,870,577,23020,2311,810,245.65,5680,1160.25,117580,4921.02,144205,3385,131360,3058,115,84,4525,894,83945,2938,235,237,40210,1638,365,106,295,212,1225,413,205,136,245,118,12845,1212,685,191.8,4820,918.79,85375,2970.0
47031,"State Senate District 31 (2022), Tennessee",Tennessee,State Senate District 31 (2022),47,31,195050,3580,186900,3596,50,41,9055,1053,34145,3078,220,337,138915,2507,920,169,1420,355,1680,536,80,62,430,222,8150,1484,1050,184.62,10475,1111.23,35905,3124.94,146395,2778,141930,2737,45,41,5585,773,25970,2362,145,226,107745,1827,685,128,665,185,810,290,40,35,235,178,4465,757,770,138.89,6250,794.83,26820,2379.99,203800,3622,193555,3535,50,41,13690,1288,34520,3121,220,337,140505,2506,920,169,1465,365,1680,536,80,62,430,222,10245,1656,1050,184.62,15155,1338.72,36280,3167.3,153925,2807,147755,2722,45,41,9760,961,26195,2376,145,226,109140,1882,685,128,700,197,810,290,40,35,235,178,6170,798,770,138.89,10460,980.98,27045,2393.89
47032,"State Senate District 32 (2022), Tennessee",Tennessee,State Senate District 32 (2022),47,32,199450,3610,189040,3185,230,82,2345,607,64310,3355,0,32,117670,1788,1250,172,675,183,2120,592,85,74,345,164,10410,1526,1565,204.41,3020,633.99,66515,3407.63,149105,2457,144495,2366,190,61,1750,428,47680,2563,0,32,92315,1581,975,134,375,143,875,320,85,73,250,145,4610,631,1250,164.34,2125,451.26,48640,2583.93,205395,3996,190440,3186,230,82,2770,657,64565,3348,0,32,118330,1892,1250,172,705,179,2140,588,85,74,360,164,14960,2182,1565,204.41,3475,680.95,66790,3400.05,154055,2686,145565,2355,190,61,2160,481,47935,2565,0,32,92675,1610,975,134,410,131,880,321,85,73,260,148,8485,1109,1250,164.34,2570,498.52,48900,2586.04
47033,"State Senate District 33 (2022), Tennessee",Tennessee,State Senate District 33 (2022),47,33,188775,4944,175110,4884,65,68,1585,421,143605,4559,70,107,26810,1850,305,161,450,228,1665,725,210,143,340,158,13665,1431,580,225.82,2035,478.77,145480,4618.5,135700,3160,130385,3216,65,57,1245,320,103500,3042,70,107,23810,1581,200,104,280,164,845,375,115,74,255,128,5315,798,380,139.79,1525,359.58,104460,3065.92,201415,5089,178460,5022,65,68,3010,631,145150,4688,70,107,27195,1948,305,161,450,228,1665,725,210,143,340,158,22955,2050,580,225.82,3460,670.93,147025,4745.88,146455,3404,133390,3297,65,57,2580,485,104845,3165,70,107,24135,1608,200,104,280,164,845,375,115,74,255,128,13060,1145,380,139.79,2860,511.98,105805,3188.0
