District,Total population,Incarcerated population,Vote strength,Prison population as percent of total population
80,"66,360","3,512",1.07,5.29%
35,"71,515","2,672",1.05,3.74%
54,"73,355","2,457",1.05,3.35%
31,"70,905","2,265",1.04,3.19%
41,"68,440","2,128",1.04,3.11%
